GeneName	Description	Process	Comment
TRMT2B	This gene encodes a homolog of the TRM2 gene in S. cerevisiae. The yeast gene encodes a tRNA methyltransferase that plays a role in tRNA maturation. The yeast protein also has endo-exonuclease activity and may be involved in DNA double strand break repair. Alternative splicing results in multiple transcripts encoding different isoforms. [provided by RefSeq, Nov 2009],	Translation	present in both datasets 
MRPS24	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein. A pseudogene corresponding to this gene is found on chromosome 11. Read-through transcription exists between this gene and the upstream upregulator of cell proliferation (URGCP) gene. [provided by RefSeq, Mar 2011],	Translation	present in both datasets 
TRMU	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of mitochondrial tRNA(Lys), tRNA(Glu) and tRNA(Gln). Required for the formation of 5-taurinomethyl-2- thiouridine (tm5s2U) of mitochondrial tRNA(Lys), tRNA(Glu), and tRNA(Gln) at the wobble position. ATP is required to activate the C2 atom of the wobble base	Translation	present in both datasets 
MRPS22	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that does not seem to have a counterpart in prokaryotic and fungal-mitochondrial ribosomes. This gene lies telomeric of and is transcribed in the opposite direction from the forkhead box L2 gene. A pseudogene corresponding to this gene is found on chromosome Xq. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPS33	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. The 28S subunit of the mammalian mitoribosome may play a crucial and characteristic role in translation initiation. This gene encodes a 28S subunit protein that is one of the more highly conserved mitochondrial ribosomal proteins among mammals, Drosophila and C. elegans. Splice variants that differ in the 5&apos; UTR have been found for this gene; all variants encode the same protein. Pseudogenes corresponding to this gene are found on chromosomes 1q, 4p, 4q, and 20q [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
GADD45GIP1	Acts as a negative regulator of G1 to S cell cycle phase progression by inhibiting cyclin-dependent kinases. Inhibitory effects are additive with GADD45 proteins but occurs also in the absence of GADD45 proteins. Acts as a repressor of the orphan nuclear receptor NR4A1 by inhibiting AB domain-mediated transcriptional activity. May be involved in the hormone-mediated regulation of NR4A1 transcriptional activity	Translation	present in both datasets 
TARS2	This gene encodes a member of the class-II aminoacyl-tRNA synthetase family. The encoded protein is a mitochondrial aminoacyl-tRNA synthetase. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 4. [provided by RefSeq, Dec 2012],	Translation	present in both datasets 
MRPL39	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Two transcript variants encoding distinct isoforms have been described. A pseudogene corresponding to this gene is found on chromosome 5q. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
GTPBP3	This locus encodes a GTP-binding protein. The encoded protein is localized to the mitochondria and may play a role in mitochondrial tRNA modification. Polymorphisms at this locus may be associated with severity of aminoglycoside-induced deafness, a disease associated with a mutation in the 12S rRNA. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Sep 2010],	Translation	present in both datasets 
MTRF1L	Mitochondrial peptide chain release factor that directs the termination of translation in response to the peptide chain termination codons UAA and UAG	Translation	present in both datasets 
MRPL45	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Alternative splicing results in multiple transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 2p and 17q. [provided by RefSeq, May 2013],	Translation	present in both datasets 
C12ORF65	This nuclear gene encodes a mitochondrial matrix protein that appears to contribute to peptide chain termination in the mitochondrial translation machinery. Two different 1 bp deletions (resulting in the same premature stop codon)result in decreased mitochondrial translation, decreased levels of oxidative phosphorylation complexes and encepthalomyopathy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2010],	Translation	present in both datasets 
FASTKD1	caution:It is uncertain whether Met-1 or Met-15 is the initiatorsimilarity:Belongs to the FAST kinase familysimilarity:Contains 1 RAP domain	Translation	present in both datasets 
MRPS31	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. The 28S subunit of the mammalian mitoribosome may play a crucial and characteristic role in translation initiation. This gene encodes a 28S subunit protein that has also been associated with type 1 diabetes; however, its relationship to the etiology of this disease remains to be clarified. Pseudogenes corresponding to this gene have been found on chromosomes 3 and 13. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
